Customer,P.O. Nbr,SO Nbr,S.O. Date,Invoices,Order Status,Order Line/Status
2167 - STATE FARM INSURANCE,,SC1028,5/18/2007,SC1028,Closed,1 - Closed
58250 - IOWA CASTLE,,61967,5/21/2007,61967,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
,,,,,,11 - Closed
,,,,,,12 - Closed
2177 - LUCCA,,62171,5/21/2007,62171,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",1117 1133 1140,62186,5/21/2007,62186,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
76900 - MORTON BUILDINGS INC,E6006,1061,5/22/2007,1061,Closed,1 - Closed
2183 - THE CONTINENTAL,,62149,5/22/2007,,Closed,1 - Closed
,,,,,,2 - Closed
"77950 - NAGLE SIGNS, INC.",1295,1338,5/23/2007,,Closed,1 - Closed
3532 - NEUMANN BUILDERS,,1066,5/24/2007,1066,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
2186 - CAT SCALE,,1067,5/24/2007,,Closed,1 - Closed
,,,,,,2 - Closed
38050 - EAGLE SIGN CO.,,1068,5/24/2007,1068,Closed,1 - Closed
73650 - MERCURY INSURANCE,E-mail from Kathleen Sorcini,1069,5/24/2007,1069,Closed,1 - Closed
"2115 - MILLE MIGLIA CAFFE, LLC",,62172,5/24/2007,62172,Closed,1 - Closed
2139 - CRE NATIONWIDE,,SC1031,5/24/2007,SC1031,Closed,1 - Closed
"88100 - PMC INVESTMENT GROUP, INC",,1070,5/25/2007,1070,Closed,1 - Closed
67450 - LIBERTY BANK,,1071,5/25/2007,1071,Closed,1 - Closed
18600 - CAT SCALE,206198,1072,5/29/2007,1072,Closed,1 - Closed
105550 - SUKI SANFORD,,SC1037,5/29/2007,SC1037,Closed,1 - Closed
61150 - JOEL MCCARTAN INSURANCE GROUP,,SC1038,5/30/2007,SC1038,Closed,1 - Closed
67450 - LIBERTY BANK,,1076,5/31/2007,1076,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
"38800 - ECHO VALLEY ENTERPRISES, INC",,1079,5/31/2007,1079,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
,,,,,,11 - Closed
,,,,,,12 - Closed
,,,,,,13 - Closed
,,,,,,14 - Closed
,,,,,,15 - Deleted
2192 - CARPER BURROW,,1080,5/31/2007,1080,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
2189 - MIDWEST VET SUPPLY,,SC1041,5/31/2007,SC1041,Closed,1 - Closed
2193 - JEANS INCORPORATED,,1081,6/1/2007,1081,Closed,1 - Closed
18600 - CAT SCALE,,1082,6/1/2007,,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",1334,1339,6/1/2007,,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",,1085,6/5/2007,1085,Closed,1 - Closed
2194 - TACO JOHN'S,,1088,6/6/2007,1088,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
,,,,,,11 - Closed
,,,,,,12 - Closed
,,,,,,13 - Closed
,,,,,,14 - Closed
,,,,,,15 - Closed
,,,,,,16 - Closed
,,,,,,17 - Closed
,,,,,,18 - Closed
18600 - CAT SCALE,,1089,6/6/2007,1089,Closed,1 - Closed
