"Part Nbr","Description","Inv Type","Sales Code","Lead Code","Engr Status","Whse Location","Qty On Hand","UOM","List Price","Acctg Cost"
"203-0410","3"" X 2"" X 1/8"" ALUM TUBE - 21'-1""","FALUM","","P","A","","0","FT","6.07000","3.46680"
"203-0420","3"" X 2"" X 3/16"" ALUM TUBE - 21'-1""","FALUM","","P","A","","0","FT","5.25000","1.51200"
"203-0430","3"" X 3"" X 1/8"" ALUM TUBE","FALUM","","P","A","","544","LF","10.13756","5.79289"
"203-0440","4"" X 2"" X 1/8"" ALUM TUBE - 21'-1""","FALUM","","P","A","","0","FT","6.02000","3.43730"
"203-0450","4"" X 4"" X 1/8"" ALUM TUBE - 21'-1""","FALUM","","P","A","","405","FT","14.08750","8.05000"
"203-0455","1.25"" ID .140"" Aluminum Tube  (1.63"" OD)","FALUM","","P","A","","0","LF","3.50000","2.00000"
"203-0460","1/8"" X 1-1/2"" ALUM FLAT - 12'","FALUM","","P","A","","0","FT","0.94500","0.47180"
"203-0470","3/16"" X 3"" ALUM FLAT - 12'","FALUM","","P","A","","0","FT","0.83000","0.92000"
"203-0480","1/4"" X 1/4"" ALUMINUM FLAT - 12'","FALUM","","P","A","","0","FT","1.38250","0.79000"
"203-0490","1/4"" X 3/4"" ALUM FLAT - 12'","FALUM","","P","A","","0","FT","0.74000","0.42000"
"203-0495","1/4"" X 12"" ALUMINUM FLAT - 12'","FALUM","","P","A","","4","FT","21.87500","7.95833"
"203-0500","1/4"" X 2"" ALUM FLAT","FALUM","","P","A","","234","LF","4.55000","2.14000"
"203-0510","1/4"" X 3"" ALUM FLAT","FALUM","","P","A","","15","LF","3.99438","2.28250"
"203-0512","1/4"" X 7"" ALUMINUM FLAT - 20'","FALUM","","P","A","","0","FT","5.05050","2.88600"
"203-0513","1/4"" x 12"" ALUMINUM FLAT - 12'","FALUM","","P","I","","0","FT","0.00000","7.93750"
"203-0514","1/4 X 1/4 ALUM BAND","FALUM","","P","A","","0","LF","1.75000","1.00000"
"203-0515","1/2"" x 2"" ALUMINUM FLAT - 12'","FALUM","","P","A","","0","FT","0.00000","2.62500"
