"06 NOV 2025","16:26:52","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/17 through 10/31/18",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"SC5195","01/23/18","SRVCE","2317","BUDGET LUBE","380.85","187.65","193.20","50.73","12.00","HOUSE","","","","","","DEFAULT","BUDGET LUBE","DES MOINES","IA",
"SC5196","01/17/18","SRVCE","5230","LOS TRES AMIGOS MEXICAN RESTAURANT","112.50","93.33","19.17","17.04","","HOUSE","","","","","","DEFAULT","LOS TRES AMIGOS MEXICAN RESTRANT","WAUKEE","IA",
"SC5197","01/17/18","SRVCE","3991","STOWERS & NELSEN","452.53","270.97","181.56","40.12","","HOUSE","","","","","","DEFAULT","STOWERS & SARCONE","WEST DES MOINES","IA",
"SC5199","01/12/18","SRVCE","77950","NAGLE SIGNS  INC.","90.00","77.22","12.78","14.20","","HOUSE","","","","","","163","KUM & GO - NAGLE SIGNS","WAUKEE","IA",
"SC5200","01/19/18","SRVCE","2621","MMC CONTRACTORS","170.00","82.31","87.69","51.58","","HOUSE","","","","","","2","METRO PARK EAST LANDFILL","MITCHELLVILLE","IA",
"SC5201","01/19/18","SRVCE","4058","RESOURCE SERVICES","127.50","61.34","66.16","51.89","","HOUSE","","","","","","4","ADEL POST OFFICE","ADEL","IA",
"SC5203","04/30/18","SRVCE","5236","US BANK","340.00","122.48","217.52","63.98","","HOUSE","","","","","","DEFAULT","US BANK","AMES","IA",
"SC5205","01/19/18","SRVCE","4293","DES MOINES RV","129.52","63.39","66.13","51.06","","HOUSE","","","","","","DEFAULT","DES MOINES RV","DES MOINES","IA",
"SC5206","01/26/18","SRVCE","3115","HY-VEE FOOD STORES","314.92","173.58","141.34","44.88","","HOUSE","","","","","","DEFAULT","HY-VEE FOOD STORES","URBANDALE","IA",
"SC5208","02/02/18","SRVCE","3379","ARMY POST RD. PLAZA INC.","440.37","294.72","145.65","33.07","","HOUSE","","","","","","1","ARMY POST ROAD PLAZA INC.","DES MOINES","IA",
"SC5209","02/11/18","SRVCE","4129","A-D DISTRIBUTING CO.","192.50","90.09","102.41","53.20","","HOUSE","","","","","","DEFAULT","A-D DISTRIBUTION","DES MOINES","IA",
"SC5210","02/11/18","SRVCE","5179","JOE FISHER","375.00","305.64","69.36","18.50","","HOUSE","","","","","","1","SUBWAY - JOE FISHER","STORY CITY","IA",
"SC5211","02/02/18","SRVCE","3860","PANCHEROS MEXICAN GRILL","215.68","144.80","70.88","32.86","","HOUSE","","","","","","DEFAULT","PANCHEROS MEXICAN GRILL","JOHNSTON","IA",
"SC5212","01/31/18","SRVCE","4928","LIVING HISTORY FARMS","0.00","27.99","-27.99","","","HOUSE","","","","","","DEFAULT","LIVING HISTORY FARMS","URBANDALE","IA",
"SC5213","01/31/18","SRVCE","4989","HY VEE","176.21","87.16","89.05","50.54","","HOUSE","","","","","","DEFAULT","HY VEE","URBANDALE","IA",
"SC5214","02/02/18","SRVCE","3353","BUZZARD BILLY'S RESTAURANT","262.50","145.15","117.35","44.70","","HOUSE","","","","","","DEFAULT","BUZZARD BILLY´S RESTAURANT","DES MOINES","IA",
"SC5215","02/09/18","SRVCE","4961","HYVEE","853.58","500.50","353.08","41.36","","HOUSE","","","","","","DEFAULT","HYVEE","DES MOINES","IA",
"SC5216","02/02/18","SRVCE","5193","ROYAL SERVICES","236.94","126.87","110.07","46.45","4.00","HOUSE","","","","","","2","HELZBERG DIAMONDS -ROYAL SERVICES","WEST DES MOINES","IA",
