Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
214-1750,3/8 X 4 EYE BOLTS,HRDWRE,EA,EA,2,0.3033,0.75,0.3033,0.3033,0,0,0
214-2450,CABLE TIE,HRDWRE,EA,EA,250,0.13,0.2275,0.13,0.0295,0,0.017,0.017
214-2535,"1-1/2"" STEEL PIANO HINGE",HRDWRE,FT,FT,-7,8.11167,14.19542,8.1117,0,0,8.1117,5.848
214-2680,1/4 X 2 LAG SCREW,HRDWRE,EA,EA,252,0.036,0.23,0.036,0.036,0,0.609,0.3695
214-2700,1/4 X 3 LAG SCREW,HRDWRE,EA,EA,95,0.0618,0.29,0.0618,0.0618,0,0.3317,0.3917
214-2730,1/4 X 5 LAG SCREW,HRDWRE,EA,EA,20,0.0507,0.28,0.0507,0.0507,0,39.591,39.59
214-2740,1/4 X 6 LAG SCREW,HRDWRE,EA,EA,60,0.0772,0.14,0.0772,0.0772,0,0.67,0.6281
214-2840,3/8 X 2 LAG SCREW,HRDWRE,EA,EA,15,0.078,0.16,0.078,0.078,0,0.078,0.078
214-2860,3/8 X 3 LAG SCREW,HRDWRE,EA,EA,24,0.0942,0.15,0.0942,0.0942,0,0.6104,0.5719
214-2870,3/8 X 3-1/2 LAG SCREW,HRDWRE,EA,EA,4,0.1075,0.22,0.1075,0.1075,0,0,0
214-2880,3/8 X 4 LAG SCREW,HRDWRE,EA,EA,25,0.1183,0.5,0.1183,0.1183,0,0.7412,2.886
214-2890,3/8 X 4-1/2 LAG SCREW,HRDWRE,EA,EA,-6,0.1707,0.34,0.1707,0.1707,0,0.815,0.815
214-2900,3/8 X 5 LAG,HRDWRE,EA,EA,10,0.2092,0.55,0.2092,0.2092,0,3.17,3.17
214-3200,3/16 HEX NUT,HRDWRE,EA,EA,-487,0.0091,0.06,0.0091,0.0091,0,0.0178,0.0091
214-3205,3/16 PUSH NUT,HRDWRE,EA,EA,2341,0.1109,0.19408,0.1109,0,0,0.1109,0.0935
