Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,Qty On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
407-0250,SPRAYLAT SIGN STRIP,PAINT,OZ,GL,0,0.34484,0.60347,0.3448,0.2626,0,0.3438,0.3442
407-0260,SPACKLE COMPOUND,PAINT,OZ,GL,0,0.09051,0.15839,0.0905,0.0905,0,0,0
407-0270,White Primer - Spray Paint,PAINT,EA,EA,0,4.35,,4.35,4.35,0,5.03,5.03
407-0280,HEAVY SPRAY PRIMER - GRAY,PAINT,EA,EA,0,6.79,11.8825,6.79,6.79,0,0,0
407-0290,REAL WHEEL CLEANER,PAINT,OZ,GL,0,0.14198,0.24847,0.142,0.142,0,0,0
408-0100,Diamond Vogel Primer,PAINT,OZ,GL,0,0.26468,0.46319,0.2647,0.1923,0,0.2206,0.2647
408-0110,M.E.K. REDUCER FOR ETCH PRIMER,PAINT,OZ,GL,0,0.12414,0.21725,0.1241,0.1241,0,0,0
408-0120,LU0500 GRAY PRIMER,PAINT,OZ,GL,0,0.25297,0.4427,0.253,0.253,0,0,0
408-0130,491-17 NASON ETCH PRIMER,PAINT,OZ,GL,0,0.50656,0.88648,0.5066,0.5066,0,0,0
408-0140,1901951 RED OXIDE PRIMER,PAINT,OZ,GL,0,0.1737,0.30398,0.1737,0.1737,0,0,0
408-0150,KILZ PRIMER SEALER,PAINT,OZ,GL,0,0.13349,0.23361,0.1335,0.1335,0,0,0
408-0160,LATEX PRIMER,PAINT,OZ,GL,0,0.18684,0.32697,0.1868,0.1868,0,0,0
408-0170,M06-70 GREY UNIVERSAL,PAINT,OZ,GL,0,0.18164,0.31787,0.1816,0.1816,0,0,0
408-0180,M07-20 RED UNIVERSAL/BEN MOORE,PAINT,OZ,GL,0,0.2168,0.3794,0.2168,0.2168,0,0,0
408-0190,M07-70 GREY UNIVERSAL,PAINT,OZ,GL,0,0.22528,0.39424,0.2253,0.2253,0,0,0
408-0200,274-685 VOC U PRIMER/MATTHEWS,PAINT,OZ,GL,0,0.41375,0.72406,0.4138,0.4138,0,0,0
408-0210,RONAN FAST DRY BLOCKOUT PAINT,PAINT,OZ,GL,0,0.19258,0.33702,0.1926,0.1926,0,0,0
