Eagle Sign Company,,,
STATUS AS OF 01/02/25,,,
,,,
Part Number,Inv Type,Part Description,UOM
208-0271,FCHANN,"1"" RED JEWELITE TRIMCAP - 150'/RL",LF
208-0280,FCHANN,"2"" RED JEWELITE TRIMCAP - 10'",LF
208-0291,FCHANN,1 SILVER JEWELITE TRIM,LF
208-0295,FCHANN,"3/4"" WHITE JEWELITE TRIM",LF
208-0301,FCHANN,1 WHITE JEWELITE TRIM,LF
208-0305,FCHANN,1 YELLOW JEWELITE TRIM,FT
208-0310,FCHANN,2 WHITE JEWELITE TRIM,LF
208-0320,FCHANN,1-1/2 X .063 COIL STOCK,LF
208-0350,FCHANN,3 X .063 MILL FINISH COIL,LF
208-0380,FCHANN,5 X .063 MILL FINISH COIL,LF
208-0396,FCHANN,"3.5"" X .040 BLACK/WHITE COIL",FT
208-0400,FCHANN,5.3 X .040 BRUSHED ALUM COIL,LF
208-0415,FCHANN,5.3 X .040 clear anodized coil,LF
208-0420,FCHANN,5.3 BLACK/WHITE LETTER COIL,LF
208-0436,FCHANN,"3.5"" white channel letter coil",LF
208-0465,FCHANN,5.3 X .063 Texaco Red/WHITE COIL,LF
208-0470,FCHANN,5.3 RED/WHITE LETTER COIL,LF
208-0510,FCHANN,8 X .063 MILL FINISH COIL,LF
,,,
******,FFABRC,FABRIC,
209-0145,FFABRC,CBL16 INTENSE BLUE COOLEY BRITE,SF
209-0380,FFABRC,Cooley Brite II / 2037 Yellow,SF
209-0420,FFABRC,COOLEY MAGIC/REMOVER,OZ
209-0460,FFABRC,FLEX FACE CLIPS,EA
209-0467,FFABRC,"3M Panaflex 945GPS White 80"" x 50yd. rolls",SF
,,,
******,FFACE,INTERCOM FACES,
210-0180,FFACE,CAT SCALE GUARANTEE FACE,EA
210-0190,FFACE,CAT SCALE INSTRUCTION FACE,EA
,,,
******,FFLAG,FLAG,
212-0240,FFLAG,3/8 NYLON W/CABLE CNTR NWCH12,LF
,,,
******,FLEXAN,LEXAN,
215-0199,FLEXAN,.150 White Polycarbonate,SF
,,,
******,FLUMBR,LUMBER,
216-0100,FLUMBR,1 X 10 LUMBER,LF
216-0151,FLUMBR,"1"" X 4"" X 12' SPF WOOD FRAMING",FT
216-0251,FLUMBR,"2"" X 4"" X 20' SPF WOOD FRAMING",FT
216-0252,FLUMBR,"2"" X 4"" X 12' SPF WOOD FRAMING",LF
216-0421,FLUMBR,"7/16"" OSB 4'x 8'sheet",SF
,,,
******,FMISC,MISCELLANEIOUS,
213-0230,FMISC,#7018 WELDING ROD,LB
,,,
******,FPLEX,ACRYLIC,
215-0535,FPLEX,.177 WHITE FF #2447 PLEXIGLAS,SF
217-0120,FPLEX,1/2 EGG CRATE LOUVER,SF
217-0485,FPLEX,.177 CLEAR IMPACT MODIFIED ACRYLIC,SF
217-0520,FPLEX,.177 RED PLEXIGLAS FF #2157,SF
217-0556,FPLEX,.177 #7328 WHITE FF PLEXIGLAS,SF
217-0557,FPLEX,.187 #2037 YELLOW FF PLEXIGLAS,SF
217-0700,FPLEX,1/2 WHITE SINTRA (KOMATEX),SF
217-0730,FPLEX,6MM WHITE KOMATEX SINTRA,SF
217-0780,FPLEX,.750 CLEAR ACRYLIC SHEET,SF
217-0790,FPLEX,.500 CLEAR ACRYLIC SHEET,SF
217-0793,FPLEX,"1"" CLEAR ACRYLIC SHEET",SF
217-0795,FPLEX,"1"" 7328 WHITE ACRYLIC SHEET",SF
217-0796,FPLEX,.75 7328 WHITE ACRYLIC SHEET,SF
217-0800,FPLEX,.50 WHITE PLEX 7328,SF
,,,
******,FSHIP,SHIPPING,
220-0101,FSHIP,S-4367 36x6x6 box,EA
220-0102,FSHIP,S-11258 36 x 12 x 12 cardboard box,EA
220-0103,FSHIP,"S-4672, 36 x 10 x 10 cardboard box",EA
220-0115,FSHIP,60 x 12 x 12 CARDBOARD BOX S-20417,EA
220-0240,FSHIP,"1/4"" x 6"" Micro Foam Rolls",FT
220-0315,FSHIP,7 mm shrink wrap,SF
,,,
******,FSTANG,STEEL ANGLE,
219-0100,FSTANG,1/2 X 1/2 X 1/8 ANGLE,FT
219-0150,FSTANG,"1-1/2"" X 1-1/2"" X 3/16"" ANGLE IRON",FT
219-0155,FSTANG,ANGLE IRON MOUNTING BRACKET - CAT,EA
219-0170,FSTANG,"2"" X 2"" X 3/16"" ANGLE IRON",FT
219-0240,FSTANG,3 X 3 X 3/8 ANGLE IRON,FT
219-0270,FSTANG,4 X 4 X 5/16 ANGLE IRON,FT
,,,
******,FSTBC,STEEL CHANNEL,
219-0580,FSTBC,4 IN X 5.4 LB CHANNEL,FT
219-0630,FSTBC,8 IN X 11.5 LB CHANNEL,FT
,,,
******,FSTFLT,STEEL FLAT,
219-0790,FSTFLT,1/4 X 4 H.R. FLAT STEEL,FT
219-0800,FSTFLT,1/4 X 6 FLAT STEEL,FT
219-0860,FSTFLT,3/8 X 6 H.R. FLAT STEEL,FT
219-0970,FSTFLT,5/8 X 6 H.R. FLAT STEEL,FT
219-0990,FSTFLT,3/4 X 8 H.R. FLAT STEEL,FT
219-1010,FSTFLT,3/4 X 12 H R FLAT STEEL,FT
219-1018,FSTFLT,"1"" X 10"" STEEL FLAT",FT
219-1040,FSTFLT,1 X 8 FLAT STEEL,FT
,,,
******,FSTMIS,STEEL MISC,
219-1640,FSTMIS,5/8 H.R. SQUARE STEEL,FT
,,,
******,FSTPIP,STEEL PIPE,
219-1320,FSTPIP,"5"" STEEL PIPE",FT
219-1330,FSTPIP,"6"" STEEL PIPE",FT
219-1340,FSTPIP,"8"" STEEL PIPE",FT
,,,
******,FSTPLT,STEEL PLATE,
219-1050,FSTPLT,Hot Rolled Sheet,SF
219-1130,FSTPLT,1/2 X 6 POLE GUSSETS,EA
219-1141,FSTPLT,"1/2"" x 8"" Top Plate",EA
219-1150,FSTPLT,3/4 X 8 MATCH PLATE,EA
219-1160,FSTPLT,3/4 X 8 TOP PLATE,EA
219-1265,FSTPLT,"24 x 24 x 1.25"" CS Plate 9 H",EA
219-1266,FSTPLT,"24 x 24 x 1 3/8"" CS Plate 9 H",EA
219-1267,FSTPLT,"24 x 24 x 1 3/4"" CS Plate 9 H",EA
,,,
******,FSTTBE,STEEL SQUARE TUBE,
219-1731,FSTTBE,"1-1/2"" X 1-1/2"" X 3/16"" SQ STEEL TUBE ",FT
219-1761,FSTTBE,2 X 2 X 1/8 SQ STEEL TBE,FT
219-1771,FSTTBE,2 X 2 X 3/16 SQ STEEL TBE,FT
219-1781,FSTTBE,2 X 2 X 1/4 SQ STEEL TBE,FT
219-1810,FSTTBE,"2-1/2"" SQ STEEL TUBE X 1/4",FT
219-1811,FSTTBE,"2-1/2"" SQ STEEL TUBE X 1/4",FT
219-1841,FSTTBE,"3"" X 3"" X 1/4"" SQUARE STEEL TUBING",FT
219-1891,FSTTBE,4 X 4 X 1/4 SQUARE TUBE,FT
219-1952,FSTTBE,5 X 5 X 1/4 SQUARE TUBE,FT
219-2102,FSTTBE,"8"" X 8"" 1/4"" SQUARE STEEL TUBE",FT
219-2110,FSTTBE,8 X 8 X 3/8 SQ TUBING,FT
219-2191,FSTTBE,10X10X3/8 SQ TUBING,FT
,,,
******,HRDWRE,HARDWARE,
214-0100,HRDWRE,BLUE ANCHORS,EA
214-0420,HRDWRE,1/4 X 1 BOLT,EA
